post_title,sku,parent_sku,meta:product_style,tax:product_type,meta:attribute_pa_size,attribute:pa_size,attribute_data:pa_size,meta:attribute_pa_color,attribute:pa_color,attribute_data:pa_color,meta:upc_field,regular_price,meta:msrp_field,Map_Required,weight,swIMG,URL1,URL2,URL3,URL4,post_content,tax:product_brand,tax:product_gender,Category,SubCategory,tax:product_collection,tax:product_productline,attribute:pa_fabric,attribute_data:pa_fabric,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute:pa_bratype,attribute_data:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute:pa_controllevel,attribute_data:pa_controllevel,attribute:pa_silhouette,attribute_data:pa_silhouette,attribute:pa_bigandtall,attribute_data:pa_bigandtall,attribute:pa_inseam,attribute_data:pa_inseam,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,ParentImage
Hanes Mens Waffle Knit Thermal Crewneck,1202,,125439,variable,,S|M|L|XL|2XL,0|1|1,,Black|Heather Grey|Natural,1|1|1,,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg|https://nylimages.s3.amazonaws.com/HNS_22803_Black.jpg|https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg|https://nylimages.s3.amazonaws.com/HNS_25439_HeatherGrey.jpg|https://nylimages.s3.amazonaws.com/HBI_28559_HeatherGrey.jpg|https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg|https://nylimages.s3.amazonaws.com/HBI_28559_Natural.jpg|https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg|https://nylimages.s3.amazonaws.com/EBY_22803_Natural.jpg|https://nylimages.s3.amazonaws.com/HNS_25439_Natural.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,4|1|0,Crewneck,2|1|0,Long Sleeve,3|1|0,,5|1|0,,6|1|0,,7|1|0,,8|1|0,,9|1|0,,10|1|0,1,11|1|0,IMPORTED,12|1|0,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54713,1202,125439,,S,,,Black,,,00843347111851,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54714,1202,125439,,M,,,Black,,,00843347111905,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg,https://nylimages.s3.amazonaws.com/HNS_22803_Black.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54715,1202,125439,,L,,,Black,,,00843347111950,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg,https://nylimages.s3.amazonaws.com/HNS_22803_Black.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54716,1202,125439,,XL,,,Black,,,00843347112001,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54717,1202,125439,,2XL,,,Black,,,00843347112056,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg,https://nylimages.s3.amazonaws.com/HBI_125439_Black.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54718,1202,125439,,S,,,Heather Grey,,,00843347111875,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_HeatherGrey.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54719,1202,125439,,M,,,Heather Grey,,,00843347111929,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_HeatherGrey.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54720,1202,125439,,L,,,Heather Grey,,,00843347111974,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,https://nylimages.s3.amazonaws.com/HBI_28559_HeatherGrey.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54721,1202,125439,,XL,,,Heather Grey,,,00843347112025,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54722,1202,125439,,2XL,,,Heather Grey,,,00843347112070,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54723,1202,125439,,S,,,Natural,,,00843347111882,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/HBI_28559_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54724,1202,125439,,M,,,Natural,,,00843347111936,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
